Date,Open,High,Low,Close,Adj Close,Volume
01-Dec-23,146,147.25,145.55,147.03,147.03,"39,924,600"
30-Nov-23,144.76,146.93,144.33,146.09,146.09,"65,814,000"
29-Nov-23,147.85,148.54,145.97,146.32,146.32,"40,610,900"
28-Nov-23,146.98,147.6,145.53,147.03,147.03,"42,711,700"
27-Nov-23,147.53,149.26,146.88,147.73,147.73,"53,762,400"
24-Nov-23,146.7,147.2,145.32,146.74,146.74,"22,378,400"
22-Nov-23,144.57,147.74,144.57,146.71,146.71,"45,669,100"
21-Nov-23,143.91,144.05,141.5,143.9,143.9,"71,226,000"
20-Nov-23,145.13,146.63,144.73,146.13,146.13,"41,951,200"
17-Nov-23,142.66,145.23,142.54,145.18,145.18,"49,636,700"
16-Nov-23,140.91,143.32,139.52,142.83,142.83,"49,653,500"
15-Nov-23,147.06,147.29,142.59,143.2,143.2,"63,875,700"
14-Nov-23,145,147.26,144.68,145.8,145.8,"56,674,600"
13-Nov-23,142.08,143.23,140.67,142.59,142.59,"35,680,600"
10-Nov-23,140.46,143.65,139.91,143.56,143.56,"49,287,800"
09-Nov-23,142.02,142.65,139.84,140.6,140.6,"36,235,400"
08-Nov-23,142.97,143.12,141.22,142.08,142.08,"44,521,700"
07-Nov-23,140.55,143.37,140.5,142.71,142.71,"53,553,500"
06-Nov-23,138.76,140.73,138.36,139.74,139.74,"44,970,400"
03-Nov-23,138.99,139.49,137.45,138.6,138.6,"44,007,200"
02-Nov-23,138.73,138.81,136.47,138.07,138.07,"52,236,700"
01-Nov-23,133.96,137.35,133.71,137,137,"61,529,400"
31-Oct-23,132.75,133.57,131.71,133.09,133.09,"51,589,400"
30-Oct-23,129.72,133,128.56,132.71,132.71,"72,485,500"
27-Oct-23,126.2,130.02,125.52,127.74,127.74,"125,309,300"
26-Oct-23,120.63,121.64,118.35,119.57,119.57,"100,419,500"
25-Oct-23,126.04,126.34,120.79,121.39,121.39,"74,577,500"
24-Oct-23,127.74,128.8,126.34,128.56,128.56,"46,477,400"
23-Oct-23,124.63,127.88,123.98,126.56,126.56,"48,260,000"
20-Oct-23,128.05,128.17,124.97,125.17,125.17,"56,343,300"
19-Oct-23,130.57,132.24,127.47,128.4,128.4,"60,961,400"
18-Oct-23,129.9,130.67,127.51,128.13,128.13,"42,699,500"
17-Oct-23,130.39,132.58,128.71,131.47,131.47,"49,344,600"
16-Oct-23,130.69,133.07,130.43,132.55,132.55,"42,832,900"
13-Oct-23,132.98,133.31,128.95,129.79,129.79,"45,786,600"
12-Oct-23,132.17,134.48,131.23,132.33,132.33,"55,528,600"
11-Oct-23,129.74,132.05,129.61,131.83,131.83,"40,741,800"
10-Oct-23,128.82,130.74,128.05,129.48,129.48,"42,178,600"
09-Oct-23,126.22,128.79,124.76,128.26,128.26,"38,773,700"
06-Oct-23,124.16,128.45,124.13,127.96,127.96,"46,795,900"
05-Oct-23,126.71,126.73,124.33,125.96,125.96,"39,660,600"
04-Oct-23,126.06,127.36,125.68,127,127,"44,203,900"
03-Oct-23,128.06,128.52,124.25,124.72,124.72,"51,565,000"
02-Oct-23,127.28,130.47,126.54,129.46,129.46,"48,029,700"
29-Sep-23,128.2,129.15,126.32,127.12,127.12,"62,377,600"
28-Sep-23,124.04,126.58,123.04,125.98,125.98,"54,555,000"
27-Sep-23,125.76,127.48,124.13,125.98,125.98,"66,553,400"
26-Sep-23,130.12,130.39,125.28,125.98,125.98,"73,048,200"
25-Sep-23,129.36,131.78,128.77,131.27,131.27,"46,017,800"
22-Sep-23,131.11,132.03,128.52,129.12,129.12,"59,904,300"
21-Sep-23,131.94,132.24,129.31,129.33,129.33,"70,234,800"
20-Sep-23,138.55,139.37,135.2,135.29,135.29,"46,263,700"
19-Sep-23,138.7,138.84,135.56,137.63,137.63,"61,482,500"
18-Sep-23,140.48,141.75,139.22,139.98,139.98,"42,823,500"
15-Sep-23,142.69,143.57,140.09,140.39,140.39,"102,861,700"
14-Sep-23,145.08,145.86,142.95,144.72,144.72,"64,033,600"
13-Sep-23,140.95,144.98,140.87,144.85,144.85,"60,465,200"
12-Sep-23,142.32,143,140.61,141.23,141.23,"42,668,500"
11-Sep-23,138.75,143.62,138.64,143.1,143.1,"56,764,500"
08-Sep-23,136.86,138.85,136.75,138.23,138.23,"38,348,200"
07-Sep-23,133.9,138.03,133.16,137.85,137.85,"48,498,900"
06-Sep-23,136.32,137.45,134.61,135.36,135.36,"41,785,500"
05-Sep-23,137.73,137.8,135.82,137.27,137.27,"40,636,700"
01-Sep-23,139.46,139.96,136.88,138.12,138.12,"40,948,300"
31-Aug-23,135.06,138.79,135,138.01,138.01,"58,781,300"
30-Aug-23,134.93,135.68,133.92,135.07,135.07,"36,137,000"
29-Aug-23,133.38,135.14,133.25,134.91,134.91,"38,646,100"
28-Aug-23,133.78,133.95,131.85,133.14,133.14,"34,108,400"
